,content,date,like,place,tags,unix,imgUrl
0,"쌀쌀해지는 날씨에 가야하는 따뜻한 감성숙소!#속초 #설레다펜션 🥰 ⠀-⠀작은 노천스파를 가진고성의 따뜻한 감성 숙소🏡⠀화이트와 우드로 이루어진깔끔하고 심플한 인테리어,구석구석 인스타 감성이 짙게 베어있어어디서 사진을 찍어도 예쁘게 나와요!바람이 쌀쌀해지는 가을에쉼과 여유가 어울리는 속초(고성)의 어느 마을 속와인 한 잔과 프라이빗한 스파❤⠀📍 주소강원 고성군 토성면 용원로 581💡 Tip🔸 입실 16:00~ 퇴실 11:00🔸 반려동물 입실 불가🔸 노천스파는 11월까지 가능!🌿 숙소기록위치 : 주변 마트 없음, 편의점 차로 3분거리가격 : 22만원~48만원 (비수기 기준)특징 : 바베큐, 냄새 심한 음식 취사 불가⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_속초#숙소기록_고성⠀#숙소 #숙소추천 #국내숙소 #여행 #여행지추천 #국내여행지추천 #국내여행 #여행스타그램 #커플여행 #속초여행 #속초고성숙소 #속초숙소 #속초숙소추천 #고성가볼만한곳 #고성여행 #속초감성숙소 #속초핫플 #속초핫플레이스 #강원도펜션추천 #강원도펜션 #가까운숙소추천 #속초독채펜션 #속초스파펜션 #강원도노천스파",2021-09-29,132,,"['#속초', '#설레다펜션', '#숙소기록', '#숙소기록_국내', '#숙소기록_속초', '#숙소기록_고성⠀', '#숙소', '#숙소추천', '#국내숙소', '#여행', '#여행지추천', '#국내여행지추천', '#국내여행', '#여행스타그램', '#커플여행', '#속초여행', '#속초고성숙소', '#속초숙소', '#속초숙소추천', '#고성가볼만한곳', '#고성여행', '#속초감성숙소', '#속초핫플', '#속초핫플레이스', '#강원도펜션추천', '#강원도펜션', '#가까운숙소추천', '#속초독채펜션', '#속초스파펜션', '#강원도노천스파']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e15/243321582_914039822539114_3528924522733909463_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=099XufuJstwAX8LVpye&edm=AP_V10EBAAAA&ccb=7-4&oh=46ac32280233f47159b53d1d8eeae5c8&oe=615A5DA0&_nc_sid=4f375e
1,"⠀연못과 산책로가 있어 자연 그대로를 느낄 수 있는 대규모 캠핑장💛 파쇄석과 잔디, 데크 등 여러종류 사이트를운영하고 있어 취향대로 선택할 수 있어요😄이 곳의 포토존은 바로 연못 앞 그네샷💕아기자기한 연못 앞에서 감성넘치는 인생샷을 남겨보세요!펜션을 함께 하고 있어비캠퍼 일행과도 함께하기 좋은 곳이에요👍캠핑장 위치와 정보는 @campingeasy.official 에서 확인 가능합니다😊🙇  @so.pring_ 님의 소중한 사진제공 감사합니다.#원주캠핑장 #강원도캠핑장 #감성캠핑",2021-09-29,189,,"['#원주캠핑장', '#강원도캠핑장', '#감성캠핑']",1632873600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/243248880_591846422266645_3723617843386822947_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=kEuojz9n2gwAX-mnBxj&edm=AP_V10EBAAAA&ccb=7-4&oh=619d8f9801f02f60a9602245459e9ed8&oe=615B1205&_nc_sid=4f375e
2,"마시멜로우 구워먹는 불멍 감성 속으로 풍덩#양평 #책속에풍덩 💦⠀-⠀서울에서 멀지 않은 곳에 위치한프라이빗한 독채펜션🏡⠀나무들로 둘러쌓여 있어더욱더 프라이빗하고자연 속에서 묵는 기분 만끽하기!⠀시원한 바람 맞으며 앉아서마시멜로우도 구워먹고자기전엔 누워서 천장에 쏘는 빔으로드라마도 같이 볼 수 있는 곳❤⠀📍 주소경기 양평군 용문면 중원산로 518-9💡 Tip🔸 네이버 예약 가능해요!🔸 입실 15:00~ 퇴실 11:00🔸 집모양 통창은 Lodge B,C, 넓은 다이닝룸은 Terrace type🔸 구비품목이 방마다 상이하니 예약 전 확인하기!🌿 숙소기록위치 : 대중교통 없음, 주변 마트 없음가격 : 49만원~89만원 (방에따라 10만원정도 차이)특징 : 개별바베큐, 취사 가능⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_양평⠀#숙소 #숙소추천 #국내숙소 #여행 #여행지추천 #국내여행지추천 #국내여행 #여행스타그램 #커플여행 #양평캠핑여행 #양평캠핑 #양평숙소 #양평숙소추천 #양평가볼만한곳 #양평여행 #양평감성숙소 #양평핫플 #양평핫플레이스 #외곽펜션추천 #서울외곽펜션 #가까운숙소추천 #양평독채펜션 #불멍",2021-09-28,311,,"['#양평', '#책속에풍덩', '#숙소기록', '#숙소기록_국내', '#숙소기록_양평⠀', '#숙소', '#숙소추천', '#국내숙소', '#여행', '#여행지추천', '#국내여행지추천', '#국내여행', '#여행스타그램', '#커플여행', '#양평캠핑여행', '#양평캠핑', '#양평숙소', '#양평숙소추천', '#양평가볼만한곳', '#양평여행', '#양평감성숙소', '#양평핫플', '#양평핫플레이스', '#외곽펜션추천', '#서울외곽펜션', '#가까운숙소추천', '#양평독채펜션', '#불멍']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/e15/243275852_227317202789215_4919584992117779776_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=ZSsqIU82frAAX-9besN&edm=AP_V10EBAAAA&ccb=7-4&oh=783e286529b8442344fd532c62dbc1db&oe=615AAFCF&_nc_sid=4f375e
3,"⠀감성캠핑을 만끽할 수 있는 신상숙소 🌅감성 가득한 바베큐를 즐길 수 있는  #제주 #동동스테이 🌲⠀-⠀바베큐에 진심인 사람들을 위한감성 가득한 캠핑을 즐길 수 있는 숙소!⠀어둑어둑한 밤에 오순도순 이야기 나누머단 둘만의 오붓한 바베큐를 즐길 수 있어요 🥓🍖⠀맛있는 고기도 마음껏 구워먹고,분위기도 내고 일석이조 ( •̀ ω •́ )✧여러모로 추억에 남을 행복한 밤이었어요 ✨⠀📍 주소제주시 구좌읍 하도7길 71⠀💡 Tip🔸 제주 동쪽 독채 전원 펜션 (2인 전용)🔸 No 키즈존, No 펫존 / 주차장 O🔸 간단한 조식, 술, 텃밭의 채소, 참나무 장작, 세면도구 등 서비스 제공🔸 인덕션, 전자레인지, 전기포트 등이 구비되어 있는 숙박동과다양한 캠핑 용품들이 가득한 돌집 캠핑장 모두 이용 가능!⠀📷사진 제공@hi_jin0_ 님⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_제주⠀-⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #가을여행 #여행스타그램 #인생샷 #인생샷스팟 #제주여행 #제주여행지 #제주캠핑 #감성캠핑 #캠핑장추천 #제주펜션 #감성숙소 #감성숙소추천 #제주여행 #제주숙소 #제주숙소추천 #제주감성숙소",2021-09-28,760,,"['#제주', '#동동스테이', '#숙소기록', '#숙소기록_국내', '#숙소기록_제주⠀-⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#가을여행', '#여행스타그램', '#인생샷', '#인생샷스팟', '#제주여행', '#제주여행지', '#제주캠핑', '#감성캠핑', '#캠핑장추천', '#제주펜션', '#감성숙소', '#감성숙소추천', '#제주여행', '#제주숙소', '#제주숙소추천', '#제주감성숙소']",1632787200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/243608180_375942087533557_2187212554342177107_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=FjKHjA4pLFAAX8wAVN0&tn=XAC9zZAskNOLBakD&edm=AP_V10EBAAAA&ccb=7-4&oh=0edfd8210b58f74c3b6b3b451352d836&oe=615AA229&_nc_sid=4f375e
4,"⠀편안하고 따뜻한 분위기가 가득 ✨이름 그대로 동글동글한 #돔그라미펜션 🌼⠀-⠀외관이 동글 동글해서 너무나 귀여웠던제주의 돔그라미펜션 ◡̈⠀예쁜 외관과 동시에따뜻한 분위기로 가득찬 내부까지너무나도 마음에 들었던 숙소에요!⠀따뜻한 우드톤 인테리어 속에서하루 일과를 보내는 것만으로도 힐링 가득받을 수 있어요💗⠀📍 주소제주 서귀포시 표선면 가시로 137 돔그라미펜션⠀💡 Tip🔸 체크인 16:00 / 체크아웃 11:00🔸 빔프로젝트 대여 1만원, 개별 테라스 바베큐이용 2만원, 아침 전복죽 조식 1만 5천원🔸 숙소 밖이 풀밭이라 벌레가 조금 있어요!📷사진 제공@yourrumi_  님⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_제주⠀-⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #가을여행 #여행스타그램 #인생샷 #인생샷스팟 #제주여행 #제주여행지 #돔그라미펜션 #제주펜션 #감성숙소 #감성숙소추천 #제주여행 #제주숙소 #제주숙소추천 #제주감성숙소",2021-09-27,300,,"['#돔그라미펜션', '#숙소기록', '#숙소기록_국내', '#숙소기록_제주⠀-⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#가을여행', '#여행스타그램', '#인생샷', '#인생샷스팟', '#제주여행', '#제주여행지', '#돔그라미펜션', '#제주펜션', '#감성숙소', '#감성숙소추천', '#제주여행', '#제주숙소', '#제주숙소추천', '#제주감성숙소']",1632700800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/243010206_1428495377545027_323877387274242439_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=6zw56T5LrmAAX9TQmmm&edm=AP_V10EBAAAA&ccb=7-4&oh=8a47df98362707a08569303bfa0ff6af&oe=615B68A3&_nc_sid=4f375e
5,"차 없이도 차박느낌낼 수 있는 #강릉 #스텔스차+캠핑용품+리버뷰 전부 준비된 차크닉장소🚙💛⠀-⠀몸만 오면 감성차크닉을 즐길 수 있는 곳!트렁크를 열고 바로 앞 리버뷰를 바라보면서소중한 사람과 오손도손 떠들며잔잔히 시간을 보내기 좋은 곳이에요☕🌿⠀일상에서 잠시 시간을내어먼 곳으로 떠나 쉬는 기분을 내기에 딱이랍니다✨⠀※차박(숙박)은 운영하지 않고 타임별로' 차크닉' 대여만 돼요※⠀⠀📍 주소강원도 강릉시 강문동 263 경포⠀💡 Tip🔸 도킹텐트, 블루투스스피커, 캠핑용 식기와 감성소품까지 다 준비되어있어요!🔸 노시동 온열매트가 깔려있어 서늘한 날씨에도 따듯하다고 해요🔸 조리는 불가해서 포장음식이나 배달음식 이용!⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_강릉⠀　⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #여행스타그램 #힐링 #휴가 #강릉여행 #강릉여행지 #강릉여행추천 #강릉여행지추천 #강릉갈만한곳 #강릉핫플 #강릉숙소 #강릉호텔 #강릉에어비엔비 #강릉숙소추천 #감성숙소 #감성숙소추천",2021-09-26,,,"['#강릉', '#스텔스차+캠핑용품+리버뷰', '#숙소기록', '#숙소기록_국내', '#숙소기록_강릉⠀', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#여행스타그램', '#힐링', '#휴가', '#강릉여행', '#강릉여행지', '#강릉여행추천', '#강릉여행지추천', '#강릉갈만한곳', '#강릉핫플', '#강릉숙소', '#강릉호텔', '#강릉에어비엔비', '#강릉숙소추천', '#감성숙소', '#감성숙소추천']",1632614400.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242802971_1039003636858722_4758936753010083587_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=2oWWG2mQSVgAX-FMTMA&edm=AP_V10EBAAAA&ccb=7-4&oh=0f34446f1329d7f535a1c70c15f72a7f&oe=615B6AF3&_nc_sid=4f375e
6,"⠀조용한 별장에서 동화같은 쉼을 느끼고 싶다면🌲🌲 숨은 숲속 독채 펜션 #강원도 #별들의기침⠀계절이 보여주는 날씨가 곧숙소의 일부분이 되어주는 커다란 통창이 있는강원도 인제의 자작나무숲에 위치한 숙소입니다.⠀겨울에는 눈내린 설산을,가을에는 무르익는 나무들을 감상할 수 있는 곳!올해 8월 새로 오픈한 독채룸에서는 통창과 함께야외테라스가 있어 자연과 함께 바베큐도 즐길 수 있어요.⠀특히 힐링이 필요하신 분들께 강력 추천드리는 숙소입니다!⠀📷사진 제공@hityomi_ 님 ⠀⠀📍 주소강원 인제군 남면 자작나무숲길 743-71⠀🕰 예약홈페이지 예약⠀💡 Tip✔ 사진속 룸은 5번 방이에요.✔ 1박에 23만원 부터~ 시작하고 일정/객실별로 조금 다릅니다!⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_강원도⠀　⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #여행스타그램 #힐링 #휴가 #강원도여행 #강원도여행지 #강원도여행추천 #강원도여행지추천 #강원도갈만한곳 #강원도핫플 #강원도숙소 #강원도호텔 #강원도에어비엔비 #강원도숙소추천 #감성숙소 #감성숙소추천",2021-09-25,"2,996",,"['#강원도', '#별들의기침⠀계절이', '#숙소기록', '#숙소기록_국내', '#숙소기록_강원도⠀', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#여행스타그램', '#힐링', '#휴가', '#강원도여행', '#강원도여행지', '#강원도여행추천', '#강원도여행지추천', '#강원도갈만한곳', '#강원도핫플', '#강원도숙소', '#강원도호텔', '#강원도에어비엔비', '#강원도숙소추천', '#감성숙소', '#감성숙소추천']",1632528000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242680906_179306600905625_8531890420609549831_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=LTqL507qK6EAX8cmBQi&edm=AP_V10EBAAAA&ccb=7-4&oh=cb920bf6ec76ca242a4585bbafff66e8&oe=615BF71D&_nc_sid=4f375e
7,"⠀넓은 독채룸과 야외테라스, 자쿠지까지 갖춰진가성비+가을감성 가득한 역대급 #제주숙소 🌾🍊⠀제주숙소 정보 홍수속에서가을제주 계획하시는분들께 꼬옥 추천하고싶은 숙소✨⠀이름부터 베이지 가득한 이 숙소는엄청나게 큰 독채 숙소인데 2층 구조로1층에는 넓은 거실, 주방, 야외테라스, 자쿠지2층에는 넓은 방 2개 야외테라스그리고 각층마다 있는 깨끗한 화장실까지!가족단위, 커플, 우정여행 등모든 여행객들에게 사랑받을수 있는 숙소같아요🙈🧡⠀📍 주소베이지스테이제주 서귀포시 안덕면 소기왓로 82 라동⠀🌿 숙소기록가격: 30만원 대특징: 유명한 #카멜베이지 숙소 바로옆에 있는 독채숙소. 사진보다 실제가 훨씬훨씬 커요!⠀📷사진 제공@lovyeun님⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_제주⠀⠀#숙소 #숙소추천 #국내숙소 #여행 #여행지추천 #국내여행지추천 #국내여행 #여행스타그램 #커플여행 #제주여행 #제주숙소 #제주숙소추천 #제주근교가볼만한곳 #제주감성숙소 #제주핫플 #제주핫플레이스 #제주에어비앤비 #제주독채펜션 #감성숙소 #감성숙소추천",2021-09-24,428,,"['#제주숙소', '#카멜베이지', '#숙소기록', '#숙소기록_국내', '#숙소기록_제주⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#여행', '#여행지추천', '#국내여행지추천', '#국내여행', '#여행스타그램', '#커플여행', '#제주여행', '#제주숙소', '#제주숙소추천', '#제주근교가볼만한곳', '#제주감성숙소', '#제주핫플', '#제주핫플레이스', '#제주에어비앤비', '#제주독채펜션', '#감성숙소', '#감성숙소추천']",1632441600.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242797599_4245825932206814_6877275404018503712_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=n_jvCAHO-3oAX8E9DE0&edm=AP_V10EBAAAA&ccb=7-4&oh=93fbc438ca6cfcd3250b3d61e487eedf&oe=615AA697&_nc_sid=4f375e
8,⠀숙소 하나로도 다양한 감성을 즐길 수 있어요감성뿜뿜한 한옥숙소 #나주 #고택산에는꽃이피네이 곳이면 나주까지 올 이유는 충분해💛⠀-⠀깔끔하고 옛 정취 가득한 한옥의 매력과 함께잘 꾸며진 정원과 소품들로 현대적인 무드까지다양한 감성을 갖춘 곳이에요✨⠀숙소가 위치한 도래마을 자체가고택으로 지정된 한옥이 많아숙소주변을 걷기만 해도 힐링 그 자체 랍니다 :)⠀📍 주소고택 산에는 꽃이 피네 (@sane.flower)전남 나주시 다도면 동력길 20-1⠀💡 Tip🔸 2층이고 해가 떨어지는 방향으로 창문이 나 있어 일몰 맛집입니다💜🔸 사장님이 정성스럽게 가꾸신 정원이 너무 예뻐요💚 여름에 배롱도 너무 예뻤겠다 싶고 곧 수크렁과 뮬리 코키아 시즌에는 더 예쁠 것 같아요👍🔸 사진의 룸 이름은 '품' 이에요⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_나주⠀-⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #가을여행 #여행스타그램 #인생샷 #인생샷스팟 #나주여행 #나주여행지 #산에는꽃이피네 #한옥펜션 #감성숙소 #감성숙소추천 #전라도여행 #광주숙소 #전남숙소 #숙소추천 #나주펜션 #한옥숙소,2021-09-23,973,,"['#나주', '#고택산에는꽃이피네이', '#숙소기록', '#숙소기록_국내', '#숙소기록_나주⠀-⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#가을여행', '#여행스타그램', '#인생샷', '#인생샷스팟', '#나주여행', '#나주여행지', '#산에는꽃이피네', '#한옥펜션', '#감성숙소', '#감성숙소추천', '#전라도여행', '#광주숙소', '#전남숙소', '#숙소추천', '#나주펜션', '#한옥숙소']",1632355200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242703171_401191868350460_6041173075757638549_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=K6d1LHwT6gAAX_PhRxM&edm=AP_V10EBAAAA&ccb=7-4&oh=bdc9c9155917b221aef00fea3109cb0a&oe=615A56F4&_nc_sid=4f375e
9,"⠀동굴 속 나만의 아늑한 아지트 같은유니크한 매력의 #제주 #다우당 🌿⠀숙소 들어가는 문부터 신비로움이 느껴지는요정들이 살 것만 같은 숙소!⠀이색적인 숙소 구조와 외형이더욱 더 특별하게 느껴져요 ✨⠀특이한 구조의 외부 테이블부터욕조까지 독특한 점들이 무척 많아새로운 즐거움을 느껴볼 수 있답니다!⠀📍주소숙박객에게만 공개⠀🌿 숙소기록가격 : 55만원 ~ 65만원특징 : 노천탕, 바베큐, 불멍, 찜질방 등 다양한 즐길거리체크인 오후 3시 / 체크아웃 오전 11시⠀📷사진 제공@d0xd0님⠀⠀⠀⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_제주⠀⠀⠀#숙소 #숙소추천 #국내숙소 #여행 #여행지추천 #국내여행지추천 #국내여행 #여행스타그램 #커플여행 #제주여행 #제주숙소 #제주숙소추천 #제주근교가볼만한곳 #제주감성숙소 #제주핫플 #제주핫플레이스 #제주에어비앤비 #제주독채펜션 #제주펜션 #감성숙소 #감성숙소추천 #감성여행",2021-09-22,"1,083",,"['#제주', '#다우당', '#숙소기록', '#숙소기록_국내', '#숙소기록_제주⠀⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#여행', '#여행지추천', '#국내여행지추천', '#국내여행', '#여행스타그램', '#커플여행', '#제주여행', '#제주숙소', '#제주숙소추천', '#제주근교가볼만한곳', '#제주감성숙소', '#제주핫플', '#제주핫플레이스', '#제주에어비앤비', '#제주독채펜션', '#제주펜션', '#감성숙소', '#감성숙소추천', '#감성여행']",1632268800.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242565384_846503086063535_4366833954800698123_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=JkD1WK0t0scAX-tsoUN&edm=AP_V10EBAAAA&ccb=7-4&oh=7c5a7c1e29572a9bf1d02417d1002b2b&oe=615AEA86&_nc_sid=4f375e
10,"⠀푸르른 숲속뷰를 바라보며 즐기는 스파 🌊이색적인 매력이 가득한 #제천 #포레스트리솜 🌳⠀7월에 새로 오픈한 포레스트 리솜 리조트!숲 속에 펼쳐진 화려한 야경과 동시에숙소 내부도 정말 깔끔하고 예뻐요 ✨⠀무엇보다 이 곳의 하이라이트라 할 수 있는 스파!인피니티 스파존, 밸리스파존 등다양한 스파존에서 특별한 추억을 남길 수 있답니다 🌿⠀특히나 인피니티 스파존과 밸리스파존이 너무나 예뻐요 💗무엇보다 특별하고 이색적인 숙소를 찾으신다면무조건 추천드리고 싶은 곳이랍니다!⠀📍주소충북 제천시 백운면 금봉로 365⠀🌿 숙소기록가격 : 25만원 ~ 35만원특징 : 다양한 스파존 구비, 스파존 이용료 별도⠀📷사진 제공@stone.water_님⠀⠀⠀⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_제천⠀⠀⠀#숙소 #숙소추천 #국내숙소 #여행 #여행지추천 #국내여행지추천 #국내여행 #여행스타그램 #커플여행 #제천여행 #제천숙소 #제천숙소추천 #제천근교가볼만한곳 #제천감성숙소 #제천핫플 #제천핫플레이스 #제천에어비앤비 #제천독채펜션 #감성숙소 #감성숙소추천 #제천리조트",2021-09-20,"1,299",,"['#제천', '#포레스트리솜', '#숙소기록', '#숙소기록_국내', '#숙소기록_제천⠀⠀⠀', '#숙소', '#숙소추천', '#국내숙소', '#여행', '#여행지추천', '#국내여행지추천', '#국내여행', '#여행스타그램', '#커플여행', '#제천여행', '#제천숙소', '#제천숙소추천', '#제천근교가볼만한곳', '#제천감성숙소', '#제천핫플', '#제천핫플레이스', '#제천에어비앤비', '#제천독채펜션', '#감성숙소', '#감성숙소추천', '#제천리조트']",1632096000.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/242212506_898340691035575_2793985735547336996_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=kq2sDTspJlYAX-Wky6g&edm=AP_V10EBAAAA&ccb=7-4&oh=0ea841d04d2ff9b9e570c0f107f8dc41&oe=615B4AC4&_nc_sid=4f375e
11,"⠀동해바다를 액자에 담은 신상숙소 #강릉 #사근진엔자연이 선사하는 그림을 감상하면서 힐링해요🌊💙⠀-⠀아침에 일어나서, 저녁에 해가 질 때까지동해 바다를 편히 구경할 수 있는 곳이에요.침대에 누워, 편히 앉아 창 밖을 바라보면서끝없이 펼쳐진 바다와 하늘, 수평선을 바라보고있으면지루하고 힘들었던 일상의 피로가 자연히 풀리게돼요⠀숙소 바로 앞에 해수욕장이 위치해있어바다 접근성도 좋은 곳!바다에 나가 노는걸 좋아하는 분들도,바다를 바라보는 것을 즐기는 분들도모두 만족하실 숙소입니다🌅⠀📷사진 제공@photo_yoseb님⠀-⠀📍 주소강원도 강릉시 해안로 588⠀🕰 예약홈페이지 예약⠀💡 Tip🔸 사진의 룸은 5번방이에요🔸 1박에 20~30만원대 (일정,객실별 금액 상이)🔸 핫플인 경포대해수욕장도 바로 인근에 있어요⠀-⠀국내외 예쁜 숙소 정보는 #숙소기록 🌿숙소 제보는 DM 또는 이메일로 ❤⠀#숙소기록_국내#숙소기록_강릉 ⠀　⠀⠀#숙소 #숙소추천 #국내숙소 #국내여행 #국내여행지 #국내여행지추천 #국내여행추천 #여행 #여행스타그램 #힐링 #휴가 #강릉여행 #강릉여행지 #강릉여행추천 #강릉여행지추천 #강릉갈만한곳 #강릉핫플 #강릉숙소 #강릉호텔 #강릉에어비엔비 #강릉숙소추천 #감성숙소 #감성숙소추천",2021-09-18,"2,936",,"['#강릉', '#사근진엔자연이', '#숙소기록', '#숙소기록_국내', '#숙소기록_강릉', '#숙소', '#숙소추천', '#국내숙소', '#국내여행', '#국내여행지', '#국내여행지추천', '#국내여행추천', '#여행', '#여행스타그램', '#힐링', '#휴가', '#강릉여행', '#강릉여행지', '#강릉여행추천', '#강릉여행지추천', '#강릉갈만한곳', '#강릉핫플', '#강릉숙소', '#강릉호텔', '#강릉에어비엔비', '#강릉숙소추천', '#감성숙소', '#감성숙소추천']",1631923200.0,https://scontent-ssn1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/242238177_201439065269842_5919940662936013058_n.jpg?_nc_ht=scontent-ssn1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=z9WVGRMJ4ZYAX8XSqXS&edm=AP_V10EBAAAA&ccb=7-4&oh=766e4f30e2c0c4bc89d7100e2a6dc0b9&oe=615BDF31&_nc_sid=4f375e
